ED ID NormlizedTimeoffset
ED 302 0.560446
ED 303 -0.456258
ED 304 -0.787045
ED 305 -0.826580
ED 306 -2.934190
ED 308 -2.508832
ED 309 0.776802
ED 310 0.392302
ED 311 -2.220254
ED 312 -0.121033
ED 313 1.817369
ED 314 -0.642962
ED 315 0.420777
ED 316 -1.211662
ED 317 -1.716528
ED 318 -0.494234
ED 319 2.634798
ED 320 1.999189
ED 321 1.175799
ED 322 -0.228110
ED 323 -1.139802
ED 324 1.002318
ED 325 -0.184719
ED 326 0.304024
ED 327 -0.930083
ED 328 -2.460472
ED 329 -0.966292
ED 330 -0.397695
ED 331 1.467895
ED 332 2.046054
ED 333 -1.381041
ED 334 0.674183
ED 335 1.872847
ED 336 0.034551
ED 337 -0.496768
ED 338 0.187250
ED 339 -0.500432
ED 340 -5.305320
ED 341 -0.524046
ED 342 -4.655884
ED 343 0.624463
ED 344 0.686249
ED 345 -0.721178
ED 346 -1.523579
ED 347 3.527300
ED 348 -0.120688
ED 349 -0.769772
ED 350 -1.879977
ED 351 -2.314703
ED 352 -1.257083
ED 353 1.888702
ED 354 -1.545934
ED 355 0.021901
ED 356 -1.431324
ED 357 -0.904847
ED 358 -2.055588
ED 359 0.849804
ED 360 3.071027
ED 361 0.399711
ED 362 -0.970847
ED 363 2.086511
ED 364 -2.586884
ED 365 -2.244926
ED 366 -2.885760
ED 367 -3.432640
ED 368 1.537076
ED 369 0.708773
ED 370 0.526000
ED 371 -1.513173
ED 372 -1.055398
ED 373 -0.655465
ED 374 -1.037060
ED 375 -3.086643
ED 376 -1.022264
ED 377 -2.398379
ED 378 -2.396966
ED 379 -0.182242
ED 380 -0.830974
ED 381 0.919098
ED 382 -0.598585
ED 383 -1.280361
ED 384 -0.222224
ED 385 0.287516
ED 386 -0.190968
ED 387 -2.141196
ED 388 -2.555930
ED 389 -0.924710
ED 390 -1.188517
ED 391 -0.105064
ED 392 -0.581524
ED 393 -0.461332
ED 394 -1.697036
ED 395 0.740268
ED 396 -1.353236
ED 397 -2.699479
ED 398 -0.465255
ED 399 -2.039989
ED 400 -2.771519
ED 401 -1.642917
ED 402 -2.074499
ED 403 -1.077239
ED 404 -1.418745
ED 405 0.228051
ED 406 -1.401373
ED 407 -2.047204
ED 408 1.959306
ED 409 -2.238523
ED 410 -1.839780
ED 411 -2.194075
ED 412 -2.161939
ED 413 -2.130901
ED 414 0.603744
ED 415 -1.632405
ED 416 -0.504940
ED 417 1.413527
ED 418 -1.210790
ED 419 -3.006589
ED 420 -0.269747
ED 421 0.539076
ED 422 0.724222
ED 423 1.331323
ED 424 2.662084
ED 425 1.101844
ED 426 -0.266408
ED 427 -0.282912
ED 428 0.937264
ED 429 -0.863326
ED 430 -0.386319
ED 431 1.253878
ED 432 -0.496230
ED 433 1.520047
ED 434 2.636190
ED 435 2.401466
ED 436 0.625636
ED 437 1.211845
ED 438 -0.828892
ED 439 0.176673
ED 440 -0.780993
ED 441 1.360054
ED 442 3.762008
ED 443 1.597202
ED 444 0.364951
ED 445 0.366980
ED 446 0.895744
ED 447 -1.824505
ED 448 -0.395507
ED 449 1.246977
ED 450 -0.036138
ED 451 -1.324890
ED 452 -0.110553
ED 453 0.525516
ED 454 -0.885185
ED 455 -0.739757
ED 456 -0.773311
ED 457 -2.362095
ED 458 0.171491
ED 459 1.547767
ED 460 2.034526
ED 461 1.284144
ED 462 -0.254651
ED 463 2.157309
ED 464 2.071395
ED 465 3.214221
ED 466 1.621947
ED 467 0.994716
ED 468 1.620905
ED 469 -2.543631
ED 470 2.220425
ED 471 0.613243
ED 472 0.806424
ED 473 4.207404
ED 474 2.077061
ED 475 -1.510721
ED 476 1.757092
ED 477 0.588590
ED 478 1.105279
ED 479 2.559053
ED 480 0.741175
ED 481 -0.295137
ED 482 -0.249193
ED 483 1.014536
ED 484 -0.846290
ED 485 2.484100
ED 486 0.413659
ED 487 -0.797120
ED 488 -0.388215
ED 489 2.278659
ED 490 0.960126
ED 491 -0.851625
ED 492 -0.481486
ED 493 -0.512979
ED 494 -0.934926
ED 495 -3.040007
ED 496 0.779767
ED 497 1.386362
ED 498 -1.556766
ED 499 -0.654217
ED 500 -0.041702
ED 501 0.850857
ED 502 -1.339582
ED 503 -2.580383
ED 504 3.466285
ED 505 0.892701
ED 506 -0.681387
ED 507 0.160660
ED 508 -0.222089
ED 509 -0.534739
ED 510 -0.585795
ED 511 2.353202
ED 512 -1.284907
ED 513 -1.179590
ED 514 -0.428604
ED 515 0.808561
ED 516 3.544270
ED 517 -0.539121
ED 518 -0.383994
ED 519 -0.236568
ED 520 2.301729
ED 521 -0.885559
ED 522 2.408420
ED 523 1.020546
ED 524 -0.280569
ED 525 0.125912
ED 526 1.243073
ED 527 1.557597
ED 528 0.886882
ED 529 -2.210003
ED 530 -0.746728
ED 531 -2.903783
ED 532 -0.287027
ED 533 -0.159511
ED 534 -1.386046
ED 535 -3.026725
ED 536 -1.811729
ED 537 -1.055459
ED 538 -1.062744
ED 539 -2.093661
ED 540 -0.343491
ED 541 -1.925363
ED 542 -0.672678
ED 543 1.993136
ED 544 -1.127641
ED 545 -0.574642
ED 546 0.074121
ED 547 -1.291592
ED 548 -2.239540
ED 549 -0.251517
ED 550 1.701527
ED 551 1.620080
ED 552 -0.158719
ED 553 0.812677
ED 554 0.850578
ED 555 -0.111768
ED 556 -1.774385
ED 557 -0.765697
ED 558 -1.556359
ED 559 -0.643277
ED 560 0.519974
ED 561 1.596590
ED 562 -1.739670
ED 563 -0.872614
ED 564 0.351369
ED 565 -0.056693
ED 566 0.681189
ED 567 -0.512207
ED 568 -2.919149
ED 569 -2.451419
ED 570 3.008265
ED 571 1.790624
ED 572 -1.844825
ED 573 0.028128
ED 574 -1.652770
ED 575 -1.270507
ED 576 2.033406
ED 577 0.079688
ED 578 -0.787133
ED 579 1.085905
ED 580 -0.523915
ED 581 2.231878
ED 582 -0.455023
ED 583 1.238129
ED 584 -0.387441
ED 585 -2.281044
