TYPE ID Toffset_noisereduction
ED 306 -4.075332
ED 308 -3.458833
ED 309 1.645722
ED 310 1.510059
ED 311 0.595134
ED 312 12.423205
ED 313 5.638844
ED 314 8.104741
ED 315 -12.005095
ED 316 -6.226098
ED 317 12.269452
ED 318 6.020240
ED 319 10.517745
ED 320 5.879051
ED 321 3.360296
ED 322 5.892519
ED 323 6.401155
ED 324 9.381687
ED 325 17.696890
ED 326 -4.951666
ED 327 -4.634153
ED 328 -2.061934
ED 329 -3.028842
ED 330 6.264855
ED 331 11.479234
ED 332 25.068908
ED 333 -0.343222
ED 334 -1.155318
ED 335 2.413984
ED 336 2.225784
ED 337 1.480743
ED 338 -3.583019
ED 339 -7.577665
ED 340 -10.786029
ED 341 3.162905
ED 342 -8.332691
ED 343 15.647474
ED 344 -10.966750
ED 345 3.732519
ED 346 6.429883
ED 347 2.605140
ED 348 -5.035856
ED 349 5.387975
ED 350 8.268118
ED 351 -7.017628
ED 352 16.244338
ED 353 -10.433183
ED 354 -0.061288
ED 355 5.110487
ED 356 1.428368
ED 357 2.124191
ED 358 -1.450396
ED 359 2.012971
ED 360 12.814549
ED 361 16.016889
ED 362 -6.036567
ED 363 -2.937605
ED 364 1.249993
ED 365 0.577066
ED 366 -4.105385
ED 367 10.170363
ED 368 -4.680483
ED 369 14.019720
ED 370 -13.399228
ED 371 9.132254
ED 372 4.542551
ED 373 0.877201
ED 374 7.036171
ED 375 -3.220187
ED 376 2.522014
ED 377 10.876494
ED 378 -6.563868
ED 379 5.862013
ED 380 -4.346807
ED 381 7.531315
ED 382 1.718304
ED 383 4.000776
ED 384 10.339293
ED 385 -4.144415
ED 386 2.658009
ED 387 -5.834210
ED 388 -1.351648
ED 389 -16.462607
ED 390 -1.656973
ED 391 8.547572
ED 392 -12.353734
ED 393 -3.802823
ED 394 -4.188379
ED 395 -2.091455
ED 396 -2.450193
ED 397 4.096789
ED 398 1.706208
ED 399 8.779075
ED 400 -2.338203
ED 401 17.679942
ED 402 -12.750576
ED 403 -1.942769
ED 404 11.093180
ED 405 9.747378
ED 406 3.056092
ED 407 11.991545
ED 408 8.231507
ED 409 3.515997
ED 410 -1.782691
ED 411 0.068274
ED 412 -7.369360
ED 413 -5.835742
ED 414 10.220235
ED 415 -10.711675
ED 416 6.730902
ED 417 5.829213
ED 418 13.489185
ED 419 6.013237
ED 420 4.025053
ED 421 1.426845
ED 422 15.655690
ED 423 4.893126
ED 424 12.104890
ED 425 -3.847662
ED 426 -20.746541
ED 427 11.122628
ED 428 -9.744119
ED 429 -10.615364
ED 430 1.484354
ED 431 2.304597
ED 432 3.247374
ED 433 2.912970
ED 434 25.120699
ED 435 4.553202
ED 436 9.193658
ED 437 11.223359
ED 438 -16.640073
ED 439 15.344286
ED 440 2.159695
ED 441 -2.807844
ED 442 11.815503
ED 443 -0.083961
ED 444 1.042349
ED 445 -6.512242
ED 446 -15.376302
ED 447 -20.438094
ED 448 -9.663483
ED 449 0.987842
ED 450 -16.616521
ED 451 0.135742
ED 452 0.339676
