ED ID NormlizedTimeoffset
ED 297 -0.796394
ED 298 -1.373652
ED 299 -0.720212
ED 300 -1.050646
ED 301 1.313282
ED 302 1.103250
ED 303 -2.154649
ED 304 -0.132864
ED 305 -2.359755
ED 306 -2.334125
ED 308 -2.293885
ED 309 0.222623
ED 310 0.126771
ED 311 -1.284876
ED 312 -1.737448
ED 313 0.319112
ED 314 -1.673259
ED 315 1.327179
ED 316 -0.782021
ED 317 -3.715340
ED 318 -1.671370
ED 319 0.192579
ED 320 -0.119231
ED 321 0.307772
ED 322 -1.120596
ED 323 -2.369746
ED 324 -1.771463
ED 325 -3.408195
ED 326 0.586737
ED 327 -0.662438
ED 328 -1.622874
ED 329 -1.021552
ED 330 -0.670629
ED 331 -0.195870
ED 332 -2.024083
ED 333 -1.170904
ED 334 0.754599
ED 335 0.292826
ED 336 -1.311404
ED 337 -0.949947
ED 338 -0.497647
ED 339 0.118034
ED 340 -3.663009
ED 341 -1.160724
ED 342 -3.201071
ED 343 -0.572876
ED 344 1.723056
ED 345 -0.767060
ED 346 -1.243072
ED 347 2.278762
ED 348 0.108138
ED 349 -1.554820
ED 350 -3.977827
ED 351 -1.874909
ED 352 -3.496767
ED 353 2.265087
ED 354 -2.103497
ED 355 -1.128571
ED 356 -1.558089
ED 357 -0.838970
ED 358 -2.403242
ED 359 0.051506
ED 360 0.872060
ED 361 -2.054251
ED 362 0.002423
ED 363 3.232995
ED 364 -2.558975
ED 365 -2.299676
ED 366 -2.116841
ED 367 -3.350094
ED 368 1.638567
ED 369 -1.486454
ED 370 1.586476
ED 371 -3.578696
ED 372 -3.787440
ED 373 -1.096161
ED 374 -2.130500
ED 375 -2.318493
ED 376 -0.943865
ED 377 -4.087849
ED 378 -1.984741
ED 379 -3.069168
ED 380 -0.603522
ED 381 0.024247
ED 382 -0.307567
ED 383 -1.254963
ED 384 -1.442209
ED 385 -0.243971
ED 386 -0.764574
ED 387 -0.677363
ED 388 -2.697184
ED 389 0.340098
ED 390 -0.501330
ED 391 -1.007738
ED 392 0.945610
ED 393 0.238127
ED 394 -1.149722
ED 395 0.917824
ED 396 -0.909543
ED 397 -2.362709
ED 398 0.002442
ED 399 -2.928270
ED 400 -2.637709
ED 401 -2.987108
ED 402 -1.056778
ED 403 -0.989377
ED 404 -2.861851
ED 405 -0.829952
ED 406 -2.129142
ED 407 -2.974882
ED 408 0.728933
ED 409 -3.565743
ED 410 -1.688465
ED 411 -2.538023
ED 412 -2.245983
ED 413 -1.325866
ED 414 0.009777
ED 415 -1.365655
ED 416 -2.634288
ED 417 -0.360181
ED 418 -2.065408
ED 419 -2.913600
ED 420 -0.939448
ED 421 -0.448279
ED 422 -0.986622
ED 423 0.962192
ED 424 1.179963
ED 425 0.319141
ED 426 1.836890
ED 427 -1.649977
ED 428 2.487478
ED 429 0.297678
ED 430 -1.185505
ED 431 0.562678
ED 432 -0.807666
ED 433 0.431658
ED 434 0.054316
ED 435 0.536760
ED 436 -0.798948
ED 437 0.215535
ED 438 1.302456
ED 439 -2.008551
ED 440 -1.909717
ED 441 1.012727
ED 442 2.239743
ED 443 0.763389
ED 444 0.065239
ED 445 0.882487
ED 446 2.161763
ED 447 0.690543
ED 448 1.037826
ED 449 0.713715
ED 450 0.874078
ED 451 -1.311939
ED 452 -0.416301
ED 453 -0.824503
ED 454 -0.255610
ED 455 -0.455380
ED 456 -0.917743
ED 457 -2.271330
ED 458 1.810133
ED 459 1.297755
ED 460 3.129973
ED 461 -1.165328
ED 462 0.915063
ED 463 0.653055
ED 464 1.438546
ED 465 0.944332
ED 466 3.585728
ED 467 0.644754
ED 468 -0.386021
ED 469 -3.624333
ED 470 1.442666
ED 471 2.232186
ED 472 0.432535
ED 473 0.511270
ED 474 1.321698
ED 475 -1.111573
ED 476 -0.992204
ED 477 -1.666289
ED 478 -1.370677
ED 479 0.327479
ED 480 -0.760410
ED 481 -0.483692
ED 482 -0.918788
ED 483 -0.415548
ED 484 -0.613000
ED 485 0.682345
ED 486 -0.275600
ED 487 -1.385186
ED 488 1.169251
ED 489 1.737572
ED 490 3.109001
ED 491 -0.629935
ED 492 -0.905938
ED 493 -1.329195
ED 494 0.334297
ED 495 -2.972534
ED 496 -0.993823
ED 497 1.991644
ED 498 -2.431481
ED 499 -1.259477
ED 500 -1.195569
ED 501 1.150019
ED 502 -2.128935
ED 503 -0.185200
ED 504 0.523248
ED 505 0.383853
ED 506 -0.361422
ED 507 1.539810
ED 508 -0.912634
ED 509 -1.216748
ED 510 -0.354515
ED 511 1.269363
ED 512 -0.509606
ED 513 -0.478578
ED 514 -1.522220
ED 515 -0.322358
ED 516 3.227528
ED 517 -2.900881
ED 518 0.701990
